timestamp_shifted,endpoint_code,user_code,ip_code,timestamp,prev_timestamp
2026-01-05T08:33:29.912000Z,AUTH_ACTION_001,UUID_002288,IP_002213,2026-01-05 08:33:29.912000+00:00,
2026-01-05T08:33:29.920000Z,AUTH_ACTION_001,UUID_002288,IP_002213,2026-01-05 08:33:29.920000+00:00,2026-01-05 08:33:29.912000+00:00
2026-01-05T08:33:32.534000Z,AUTH_ACTION_002,UUID_002288,IP_002213,2026-01-05 08:33:32.534000+00:00,2026-01-05 08:33:29.920000+00:00
2026-01-05T08:33:32.538000Z,AUTH_ACTION_002,UUID_002288,IP_002213,2026-01-05 08:33:32.538000+00:00,2026-01-05 08:33:32.534000+00:00
2026-01-05T08:33:32.997000Z,NOTIFICATIONS_001,UUID_002288,IP_000002,2026-01-05 08:33:32.997000+00:00,2026-01-05 08:33:32.538000+00:00
2026-01-05T08:33:33.591000Z,ACTIVITY_ADD_001,UUID_002288,IP_002213,2026-01-05 08:33:33.591000+00:00,2026-01-05 08:33:32.997000+00:00
2026-01-05T08:33:33.594000Z,ACTIVITY_ADD_001,UUID_002288,IP_002213,2026-01-05 08:33:33.594000+00:00,2026-01-05 08:33:33.591000+00:00
2026-01-05T08:33:33.595000Z,ACTIVITY_ADD_001,UUID_002288,IP_002213,2026-01-05 08:33:33.595000+00:00,2026-01-05 08:33:33.594000+00:00
2026-01-05T08:33:33.601000Z,ACTIVITY_ADD_001,UUID_002288,IP_002213,2026-01-05 08:33:33.601000+00:00,2026-01-05 08:33:33.595000+00:00
2026-01-05T08:33:33.830000Z,CAPTCHA_CHECK_001,UUID_002288,IP_002213,2026-01-05 08:33:33.830000+00:00,2026-01-05 08:33:33.601000+00:00
2026-01-05T08:33:33.832000Z,CAPTCHA_CHECK_001,UUID_002288,IP_002213,2026-01-05 08:33:33.832000+00:00,2026-01-05 08:33:33.830000+00:00
2026-01-05T08:33:33.833000Z,CAPTCHA_CHECK_001,UUID_002288,IP_002213,2026-01-05 08:33:33.833000+00:00,2026-01-05 08:33:33.832000+00:00
2026-01-05T08:33:34.067000Z,RESERVATION_SEARCH_001,UUID_002288,IP_002213,2026-01-05 08:33:34.067000+00:00,2026-01-05 08:33:33.833000+00:00
2026-01-05T08:33:34.101000Z,RESERVATION_SEARCH_001,UUID_002288,IP_002213,2026-01-05 08:33:34.101000+00:00,2026-01-05 08:33:34.067000+00:00
2026-01-05T08:33:34.378000Z,RESERVATION_SEARCH_001,UUID_002288,IP_002213,2026-01-05 08:33:34.378000+00:00,2026-01-05 08:33:34.101000+00:00
2026-01-05T08:33:34.524000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_002288,IP_002213,2026-01-05 08:33:34.524000+00:00,2026-01-05 08:33:34.378000+00:00
2026-01-05T08:33:34.529000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_002288,IP_002213,2026-01-05 08:33:34.529000+00:00,2026-01-05 08:33:34.524000+00:00
2026-01-05T08:33:34.530000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_002288,IP_002213,2026-01-05 08:33:34.530000+00:00,2026-01-05 08:33:34.529000+00:00
2026-01-05T08:33:34.531000Z,RESERVATION_SEARCH_001,UUID_002288,IP_002213,2026-01-05 08:33:34.531000+00:00,2026-01-05 08:33:34.530000+00:00
2026-01-05T08:33:34.533000Z,RESERVATION_SEARCH_001,UUID_002288,IP_002213,2026-01-05 08:33:34.533000+00:00,2026-01-05 08:33:34.531000+00:00
2026-01-05T08:33:34.533000Z,HANDBOOK_TRANSPORT_TYPES_001,UUID_002288,IP_002213,2026-01-05 08:33:34.533000+00:00,2026-01-05 08:33:34.533000+00:00
2026-01-05T08:33:34.550000Z,RESERVATION_SEARCH_001,UUID_002288,IP_002213,2026-01-05 08:33:34.550000+00:00,2026-01-05 08:33:34.533000+00:00
2026-01-05T08:33:34.555000Z,NOTIFICATIONS_001,UUID_002288,IP_000002,2026-01-05 08:33:34.555000+00:00,2026-01-05 08:33:34.550000+00:00
2026-01-05T08:33:34.580000Z,RESERVATION_CARD_001,UUID_002288,IP_002213,2026-01-05 08:33:34.580000+00:00,2026-01-05 08:33:34.555000+00:00
2026-01-05T08:33:34.583000Z,RESERVATION_CARD_001,UUID_002288,IP_002213,2026-01-05 08:33:34.583000+00:00,2026-01-05 08:33:34.580000+00:00
2026-01-05T08:33:34.584000Z,RESERVATION_CARD_001,UUID_002288,IP_002213,2026-01-05 08:33:34.584000+00:00,2026-01-05 08:33:34.583000+00:00
2026-01-05T08:33:34.589000Z,RESERVATION_CARD_001,UUID_002288,IP_002213,2026-01-05 08:33:34.589000+00:00,2026-01-05 08:33:34.584000+00:00
