timestamp_shifted,slot_code,user_code,operation_code
2026-02-11T07:46:23.439000Z,SLOT_000001,,OP_000001
2026-02-11T07:47:20.349000Z,SLOT_000001,UUID_019262,OP_000002
2026-02-14T12:18:23.275000Z,SLOT_000002,UUID_019263,OP_000003
2026-02-15T13:01:18.743000Z,SLOT_000002,,OP_000001
2026-02-15T13:04:46.611000Z,SLOT_000002,UUID_019264,OP_000003
2026-02-11T05:28:12.348000Z,SLOT_000003,UUID_019265,OP_000002
2026-02-12T05:13:14.349000Z,SLOT_000003,,OP_000001
2026-02-12T05:35:30.338000Z,SLOT_000003,UUID_000913,OP_000003
2026-02-11T07:37:06.903000Z,SLOT_000004,,OP_000001
2026-02-11T07:37:39.850000Z,SLOT_000004,UUID_002232,OP_000003
2026-02-14T09:31:47.916000Z,SLOT_000005,,OP_000001
2026-02-14T09:32:16.856000Z,SLOT_000005,UUID_019266,OP_000002
2026-02-18T07:41:12.002000Z,SLOT_000006,,OP_000001
2026-02-18T07:41:55.859000Z,SLOT_000006,UUID_000797,OP_000002
2026-02-12T08:34:59.203000Z,SLOT_000007,UUID_019267,OP_000003
2026-02-12T08:57:10.107000Z,SLOT_000007,,OP_000001
2026-02-14T05:31:16.109000Z,SLOT_000007,UUID_019268,OP_000002
2026-02-12T17:48:43.358000Z,SLOT_000008,,OP_000001
2026-02-12T17:48:43.805000Z,SLOT_000008,UUID_000281,OP_000003
2026-02-11T17:56:31.402000Z,SLOT_000009,,OP_000001
2026-02-11T17:57:28.341000Z,SLOT_000009,UUID_019264,OP_000003
2026-02-11T09:38:37.985000Z,SLOT_000010,,OP_000001
2026-02-11T10:32:35.889000Z,SLOT_000010,UUID_000486,OP_000003
2026-02-14T12:49:17.758000Z,SLOT_000011,,OP_000001
2026-02-14T12:51:00.623000Z,SLOT_000011,UUID_001277,OP_000003
2026-02-13T12:57:50.327000Z,SLOT_000012,UUID_002262,OP_000002
2026-02-13T14:47:14.364000Z,SLOT_000012,,OP_000001
2026-02-13T15:00:33.148000Z,SLOT_000012,UUID_019269,OP_000002
2026-02-11T05:53:17.255000Z,SLOT_000013,UUID_002284,OP_000002
2026-02-16T11:24:58.214000Z,SLOT_000013,,OP_000001
2026-02-16T11:27:16.684000Z,SLOT_000013,UUID_019270,OP_000002
2026-02-17T12:37:38.366000Z,SLOT_000013,,OP_000001
2026-02-17T12:38:06.523000Z,SLOT_000013,UUID_019271,OP_000003
2026-02-11T21:42:25.430000Z,SLOT_000014,,OP_000001
2026-02-12T00:26:53.730000Z,SLOT_000014,UUID_000281,OP_000003
2026-02-16T08:06:47.637000Z,SLOT_000015,,OP_000001
2026-02-16T08:32:42.352000Z,SLOT_000015,UUID_019272,OP_000002
2026-02-11T12:25:55.685000Z,SLOT_000016,,OP_000001
2026-02-11T12:30:27.379000Z,SLOT_000016,UUID_019273,OP_000002
2026-02-16T09:04:43.455000Z,SLOT_000017,UUID_000641,OP_000002
2026-02-17T06:38:39.224000Z,SLOT_000017,,OP_000001
2026-02-11T07:41:29.518000Z,SLOT_000018,,OP_000001
2026-02-11T07:41:54.319000Z,SLOT_000018,UUID_019274,OP_000002
2026-02-18T01:13:52.018000Z,SLOT_000019,,OP_000001
2026-02-18T02:34:40.538000Z,SLOT_000019,UUID_000598,OP_000003
2026-02-17T09:57:42.575000Z,SLOT_000020,,OP_000001
2026-02-17T10:32:00.381000Z,SLOT_000020,UUID_019275,OP_000002
2026-02-17T09:00:00.953000Z,SLOT_000021,UUID_000375,OP_000002
2026-02-18T08:04:29.521000Z,SLOT_000021,,OP_000001
2026-02-18T08:04:59.016000Z,SLOT_000021,UUID_019276,OP_000003
2026-02-11T17:41:34.431000Z,SLOT_000022,,OP_000001
2026-02-11T17:41:54.683000Z,SLOT_000022,UUID_019277,OP_000003
2026-02-14T03:09:20.736000Z,SLOT_000023,,OP_000001
2026-02-14T07:12:04.691000Z,SLOT_000024,,OP_000001
2026-02-14T07:14:36.825000Z,SLOT_000024,UUID_000611,OP_000002
2026-02-15T07:55:06.212000Z,SLOT_000025,,OP_000001
2026-02-15T07:55:32.691000Z,SLOT_000025,UUID_001845,OP_000002
2026-02-11T19:08:30.953000Z,SLOT_000026,,OP_000001
2026-02-11T19:09:08.665000Z,SLOT_000026,UUID_019278,OP_000002
2026-02-16T15:53:32.558000Z,SLOT_000027,UUID_000493,OP_000002
2026-02-16T20:56:58.364000Z,SLOT_000027,,OP_000001
2026-02-12T09:39:57.288000Z,SLOT_000028,,OP_000001
2026-02-12T09:41:21.101000Z,SLOT_000028,UUID_000303,OP_000002
2026-02-11T18:24:41.119000Z,SLOT_000029,UUID_001784,OP_000002
2026-02-16T06:50:44.232000Z,SLOT_000029,,OP_000001
2026-02-16T06:51:09.244000Z,SLOT_000029,UUID_019279,OP_000002
2026-02-17T05:00:47.870000Z,SLOT_000029,,OP_000001
2026-02-17T05:01:23.133000Z,SLOT_000029,UUID_001747,OP_000002
2026-02-13T16:27:07.396000Z,SLOT_000030,UUID_019280,OP_000002
2026-02-13T16:47:53.506000Z,SLOT_000030,,OP_000001
2026-02-13T17:10:40.590000Z,SLOT_000030,UUID_019281,OP_000002
2026-02-13T17:17:25.344000Z,SLOT_000030,,OP_000001
2026-02-13T17:22:56.532000Z,SLOT_000030,UUID_000480,OP_000002
2026-02-13T17:29:00.267000Z,SLOT_000030,,OP_000001
2026-02-13T17:44:37.918000Z,SLOT_000030,UUID_000480,OP_000002
